City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,keflavik,64.0049,-22.5624,5.240000000000009,70,0,1.54,IS,1698595886
66,berdigestyakh,62.0989,126.6992,-20.389999999999986,100,91,1.04,RU,1698595886
67,salalah,17.0151,54.0924,28.05000000000001,69,0,1.03,OM,1698595887
68,mil'kovo,55.6078,37.7956,0.7900000000000205,92,100,4.02,RU,1698595887
69,puerto ayora,-0.7393,-90.3518,28.980000000000018,85,65,3.13,EC,1698595888
70,santa ana,33.7456,-117.8678,21.860000000000014,14,0,8.75,US,1698595888
71,dubrovytsya,51.5744,26.565,9.620000000000005,87,68,3.38,UA,1698595889
72,remire-montjoly,4.9167,-52.2667,33.02000000000004,52,0,5.14,GF,1698595889
73,college,64.8569,-147.8028,-6.419999999999959,86,75,0.0,US,1698595890
74,huarmey,-10.0681,-78.1522,22.670000000000016,75,80,5.48,PE,1698595890
75,rovaniemi,66.5,25.7167,-6.329999999999984,93,0,2.06,FI,1698595891
76,barah,13.7,30.3667,32.52000000000004,16,100,2.99,SD,1698595892
77,zhuanghe,39.7008,122.9911,14.760000000000048,93,30,1.91,CN,1698595892
78,taulaga,-11.0553,-171.0883,28.33000000000004,75,76,4.24,AS,1698595893
79,bereket,39.2446,55.5154,25.07000000000005,31,3,4.16,TM,1698595832
80,enewetak,11.3474,162.3373,28.79000000000002,76,22,7.67,MH,1698595894
81,san pedro del parana,-26.8333,-56.2,29.460000000000036,70,62,1.46,PY,1698595895
82,nemuro,43.3236,145.575,10.220000000000027,73,55,4.05,JP,1698595895
83,darwin,-12.4611,130.8418,28.99000000000001,75,75,1.54,AU,1698595693
84,shawano,44.7822,-88.609,3.0500000000000114,70,0,0.0,US,1698595896
85,hithadhoo,-0.6,73.0833,27.120000000000005,80,100,7.58,MV,1698595898
86,albany,42.6001,-73.9662,7.189999999999998,93,100,2.0,US,1698595790
87,luanda,-8.8368,13.2343,25.610000000000014,81,10,7.53,AO,1698595899
88,potiskum,11.7091,11.0694,36.870000000000005,14,4,4.23,NG,1698595900
89,dzuunmod,48.2199,97.3744,-1.7099999999999795,72,100,1.37,MN,1698595900
90,georgetown,5.4112,100.3354,26.120000000000005,94,20,0.0,MY,1698595901
91,manaure,11.7751,-72.4445,30.200000000000045,62,89,1.87,CO,1698595902
92,charlottetown,46.2352,-63.1267,8.090000000000032,64,100,5.81,CA,1698595902
93,sitka,57.0531,-135.33,6.939999999999998,70,100,2.06,US,1698595655
94,invercargill,-46.4,168.35,4.4500000000000455,95,83,0.45,NZ,1698595903
95,hermanus,-34.4187,19.2345,15.560000000000002,60,0,12.01,ZA,1698595904
96,haiku-pauwela,20.9219,-156.3051,23.910000000000025,77,0,3.6,US,1698595904
97,khovd,48.0056,91.6419,-1.089999999999975,63,80,0.94,MN,1698595905
98,alofi,-19.0595,-169.9187,23.920000000000016,85,100,10.09,NU,1698595905
